ชื่อโรค-value,ชื่อโรค-alias,MIN(Number of Records)-alias,สัปดาห์-value,สัปดาห์-alias,ATTR(week_number)-alias,ATTR(disease (copy))-alias,ATTR(disease_th)-alias,AGG(จำนวนป่วย (แทน null))-alias,AGG(Formatted Percent Change)-alias,AGG(Arrow Type)-alias,AGG(Consecutive Weeks)-alias
ติดเชื้อไวรัสซิกา,ติดเชื้อไวรัสซิกา,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้พาราไทฟอยด์,ไข้พาราไทฟอยด์,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไอกรน,ไอกรน,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ อี,ไวรัสตับอักเสบ อี,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
กามโรคของต่อมและท่อน้ำเหลือง,กามโรคของต่อมและท่อน้ำเหลือง,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้เอนเทอโรไวรัส,ไข้เอนเทอโรไวรัส,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เรื้อน,เรื้อน,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้ไทฟอยด์,ไข้ไทฟอยด์,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ ดี,ไวรัสตับอักเสบ ดี,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ชิคุนกุนยา,ชิคุนกุนยา,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
คางทูม,คางทูม,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ เอ,ไวรัสตับอักเสบ เอ,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หูดับ,ไข้หูดับ,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
บิดจากเชื้ออะมีบา,บิดจากเชื้ออะมีบา,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หัด,ไข้หัด,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้ดำแดง,ไข้ดำแดง,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
บิดจากเชื้อชิเกลลา,บิดจากเชื้อชิเกลลา,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เลปโตสไปโรสิส,เลปโตสไปโรสิส,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
พยาธิใบไม้ในตับ,พยาธิใบไม้ในตับ,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้สมองอักเสบ,ไข้สมองอักเสบ,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เห็ดพิษ,เห็ดพิษ,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เริมอวัยวะเพศและทวารหนัก,เริมอวัยวะเพศและทวารหนัก,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เยื่อหุ้มสมองอักเสบ,เยื่อหุ้มสมองอักเสบ,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ติดเชื้อไวรัสอาร์เอสวี,ติดเชื้อไวรัสอาร์เอสวี,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
แผลริมอ่อน,แผลริมอ่อน,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
หนองในเทียม,หนองในเทียม,1,53,สัปดาห์ที่ 53,53,Non-Gonococcal urethritis (NGU),หนองในเทียม,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
ไวรัสตับอักเสบ ซี,ไวรัสตับอักเสบ ซี,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
หูดอวัยวะเพศและทวารหนัก,หูดอวัยวะเพศและทวารหนัก,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
สครับไทฟัส,สครับไทฟัส,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เมลิออยโดสิส,เมลิออยโดสิส,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
หนองใน,หนองใน,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
มือเท้าปาก ,มือเท้าปาก ,1,53,สัปดาห์ที่ 53,53,Hand foot and mouth disease,มือเท้าปาก ,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
ซิฟิลิส,ซิฟิลิส,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ บี,ไวรัสตับอักเสบ บี,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
สุกใส,สุกใส,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
COVID-19,COVID-19,%missing%,53,สัปดาห์ที่ 53,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
โรคไข้เลือดออก,โรคไข้เลือดออก,1,53,สัปดาห์ที่ 53,53,%many-values%,%many-values%,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
อาหารเป็นพิษ  ,อาหารเป็นพิษ  ,1,53,สัปดาห์ที่ 53,53,Food poisoning,อาหารเป็นพิษ  ,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
ไข้หวัดใหญ่,ไข้หวัดใหญ่,1,53,สัปดาห์ที่ 53,53,"Influenza, (Flu) ",ไข้หวัดใหญ่,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
ปอดอักเสบ,ปอดอักเสบ,1,53,สัปดาห์ที่ 53,53,Pneumonia,ปอดอักเสบ,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
อุจจาระร่วง,อุจจาระร่วง,1,53,สัปดาห์ที่ 53,53,Acute diarrhea,อุจจาระร่วง,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
ทริคิโนสิส,ทริคิโนสิส,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หัดที่มีโรคแทรกซ้อน  ,ไข้หัดที่มีโรคแทรกซ้อน  ,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
พิษสุนัขบ้า,พิษสุนัขบ้า,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
บาดทะยัก,บาดทะยัก,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หัดเยอรมัน,ไข้หัดเยอรมัน,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้มาลาเรีย,ไข้มาลาเรีย,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ติดเชื้อไวรัสซิกา,ติดเชื้อไวรัสซิกา,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้พาราไทฟอยด์,ไข้พาราไทฟอยด์,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไอกรน,ไอกรน,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ อี,ไวรัสตับอักเสบ อี,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
กามโรคของต่อมและท่อน้ำเหลือง,กามโรคของต่อมและท่อน้ำเหลือง,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้เอนเทอโรไวรัส,ไข้เอนเทอโรไวรัส,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เรื้อน,เรื้อน,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้ไทฟอยด์,ไข้ไทฟอยด์,1,52,สัปดาห์ที่ 52,52,Typhoid fever,ไข้ไทฟอยด์,1,%null%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ ดี,ไวรัสตับอักเสบ ดี,1,52,สัปดาห์ที่ 52,52,Acute hepatitis D virus,ไวรัสตับอักเสบ ดี,0,%null%,ไม่เปลี่ยนแปลง,0
ชิคุนกุนยา,ชิคุนกุนยา,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
คางทูม,คางทูม,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ เอ,ไวรัสตับอักเสบ เอ,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หูดับ,ไข้หูดับ,1,52,สัปดาห์ที่ 52,52,Streptococcus suis infection,ไข้หูดับ,1,▲ 100.0%,ผู้ป่วยเพิ่มขึ้น,1
บิดจากเชื้ออะมีบา,บิดจากเชื้ออะมีบา,1,52,สัปดาห์ที่ 52,52,"Amoebic Dysentery, Amoebiasis",บิดจากเชื้ออะมีบา,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หัด,ไข้หัด,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้ดำแดง,ไข้ดำแดง,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
บิดจากเชื้อชิเกลลา,บิดจากเชื้อชิเกลลา,1,52,สัปดาห์ที่ 52,52,"Shigellosis dysentery, Bacillary dysentery",บิดจากเชื้อชิเกลลา,0,0.0%,ไม่เปลี่ยนแปลง,0
เลปโตสไปโรสิส,เลปโตสไปโรสิส,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
พยาธิใบไม้ในตับ,พยาธิใบไม้ในตับ,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้สมองอักเสบ,ไข้สมองอักเสบ,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เห็ดพิษ,เห็ดพิษ,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เริมอวัยวะเพศและทวารหนัก,เริมอวัยวะเพศและทวารหนัก,1,52,สัปดาห์ที่ 52,52,Anogenital Herpes,เริมอวัยวะเพศและทวารหนัก,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
เยื่อหุ้มสมองอักเสบ,เยื่อหุ้มสมองอักเสบ,1,52,สัปดาห์ที่ 52,52,Unspecified meningitis,เยื่อหุ้มสมองอักเสบ,0,0.0%,ไม่เปลี่ยนแปลง,0
ติดเชื้อไวรัสอาร์เอสวี,ติดเชื้อไวรัสอาร์เอสวี,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
แผลริมอ่อน,แผลริมอ่อน,1,52,สัปดาห์ที่ 52,52,Chancroid,แผลริมอ่อน,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
หนองในเทียม,หนองในเทียม,1,52,สัปดาห์ที่ 52,52,Non-Gonococcal urethritis (NGU),หนองในเทียม,1,▼ -66.7%,ผู้ป่วยน้อยลง,0
ไวรัสตับอักเสบ ซี,ไวรัสตับอักเสบ ซี,1,52,สัปดาห์ที่ 52,52,Acute hepatitis C Virus,ไวรัสตับอักเสบ ซี,0,0.0%,ไม่เปลี่ยนแปลง,0
หูดอวัยวะเพศและทวารหนัก,หูดอวัยวะเพศและทวารหนัก,%missing%,52,สัปดาห์ที่ 52,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
สครับไทฟัส,สครับไทฟัส,1,52,สัปดาห์ที่ 52,52,Scrub Typhus,สครับไทฟัส,0,0.0%,ไม่เปลี่ยนแปลง,0
เมลิออยโดสิส,เมลิออยโดสิส,1,52,สัปดาห์ที่ 52,52,Melioidosis,เมลิออยโดสิส,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
หนองใน,หนองใน,1,52,สัปดาห์ที่ 52,52,Gonorrhea,หนองใน,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
มือเท้าปาก ,มือเท้าปาก ,1,52,สัปดาห์ที่ 52,52,Hand foot and mouth disease,มือเท้าปาก ,2,▼ -60.0%,ผู้ป่วยน้อยลง,0
ซิฟิลิส,ซิฟิลิส,1,52,สัปดาห์ที่ 52,52,"Syphilis, Congenital syphilis ",ซิฟิลิส,2,▼ -80.0%,ผู้ป่วยน้อยลง,0
ไวรัสตับอักเสบ บี,ไวรัสตับอักเสบ บี,1,52,สัปดาห์ที่ 52,52,Acute hepatitis B Virus,ไวรัสตับอักเสบ บี,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
สุกใส,สุกใส,1,52,สัปดาห์ที่ 52,52,"Varicella, Chickenpox",สุกใส,5,▲ 66.7%,ผู้ป่วยเพิ่มขึ้น,1
COVID-19,COVID-19,1,52,สัปดาห์ที่ 52,52,"Coronavirus disease 2019 (COVID-19),MISC from COVID-19",COVID-19,2,▼ -80.0%,ผู้ป่วยน้อยลง,0
โรคไข้เลือดออก,โรคไข้เลือดออก,1,52,สัปดาห์ที่ 52,52,%many-values%,%many-values%,5,▼ -16.7%,ผู้ป่วยน้อยลง,0
อาหารเป็นพิษ  ,อาหารเป็นพิษ  ,1,52,สัปดาห์ที่ 52,52,Food poisoning,อาหารเป็นพิษ  ,53,▼ -20.9%,ผู้ป่วยน้อยลง,0
ไข้หวัดใหญ่,ไข้หวัดใหญ่,1,52,สัปดาห์ที่ 52,52,"Influenza, (Flu) ",ไข้หวัดใหญ่,20,▼ -64.3%,ผู้ป่วยน้อยลง,0
ปอดอักเสบ,ปอดอักเสบ,1,52,สัปดาห์ที่ 52,52,Pneumonia,ปอดอักเสบ,69,▼ -72.5%,ผู้ป่วยน้อยลง,0
อุจจาระร่วง,อุจจาระร่วง,1,52,สัปดาห์ที่ 52,52,Acute diarrhea,อุจจาระร่วง,12,▲ 9.1%,ผู้ป่วยเพิ่มขึ้น,3
ทริคิโนสิส,ทริคิโนสิส,%missing%,51,สัปดาห์ที่ 51,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หัดที่มีโรคแทรกซ้อน  ,ไข้หัดที่มีโรคแทรกซ้อน  ,%missing%,51,สัปดาห์ที่ 51,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
พิษสุนัขบ้า,พิษสุนัขบ้า,%missing%,51,สัปดาห์ที่ 51,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
บาดทะยัก,บาดทะยัก,%missing%,51,สัปดาห์ที่ 51,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้หัดเยอรมัน,ไข้หัดเยอรมัน,%missing%,51,สัปดาห์ที่ 51,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
ไข้มาลาเรีย,ไข้มาลาเรีย,%missing%,51,สัปดาห์ที่ 51,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
